source,target,type,reason
Derivative of Vector-Valued Function,Vector-Valued Function Definition,prerequisite,Must understand vector-valued functions before differentiating them.
Derivative of Vector-Valued Function,Limit of Vector-Valued Function,prerequisite,The derivative is defined as a limit of the difference quotient.
Tangent Vector to Space Curve,Derivative of Vector-Valued Function,uses,The tangent vector is the derivative evaluated at a point.
Tangent Vector to Space Curve,Space Curve from Vector Function,prerequisite,Tangent vectors describe the direction of motion along space curves.
Unit Tangent Vector,Tangent Vector to Space Curve,prerequisite,The unit tangent is the normalized version of the tangent vector.
Higher-Order Derivatives of Vector Functions,Derivative of Vector-Valued Function,prerequisite,Higher derivatives are obtained by repeatedly applying the derivative operator.
Indefinite Integral of Vector Function,Derivative of Vector-Valued Function,related_to,Integration and differentiation are inverse operations for vector functions.
Definite Integral of Vector Function,Indefinite Integral of Vector Function,uses,Definite integrals use antiderivatives via the fundamental theorem.
Differentiation Rules for Vector Functions,Derivative of Vector-Valued Function,prerequisite,These rules extend the basic derivative definition to combinations of vector functions.
Differentiation Rules for Vector Functions,Dot Product Definition,uses,The dot product rule differentiates products of vector functions.
Differentiation Rules for Vector Functions,Cross Product Definition,uses,The cross product rule differentiates cross products of vector functions.
Smooth Space Curve,Tangent Vector to Space Curve,uses,Smoothness requires the tangent vector to be continuous and nonzero.
Arc Length Formula,Derivative of Vector-Valued Function,prerequisite,Computing arc length requires finding and evaluating the derivative r'(t).
Arc Length Formula,Arc Length of Space Curve,prerequisite,The formula provides the computational method for finding arc length.
Arc Length Parameter,Arc Length Formula,prerequisite,Converting to arc length parameter requires computing the arc length integral.
Arc Length Parameter,Unit Tangent Vector,related_to,"With arc length parameter, the velocity vector is automatically the unit tangent vector."
Curvature Definition,Unit Tangent Vector,prerequisite,Curvature measures how the unit tangent vector changes with respect to arc length.
Curvature Formula for Space Curves,Curvature Definition,prerequisite,The formula provides computational methods for the curvature definition.
Curvature Formula for Space Curves,Magnitude of Cross Product,uses,The practical curvature formula uses the magnitude of r'(t) × r''(t).
Principal Unit Normal Vector,Unit Tangent Vector,prerequisite,The principal unit normal is derived by differentiating and normalizing the unit tangent.
Binormal Vector,Principal Unit Normal Vector,prerequisite,Computing the binormal requires both the tangent and normal vectors via cross product.
Binormal Vector,Right-Hand Rule for Cross Product,uses,The binormal is computed as T × N using the cross product operation.
Osculating Plane,Binormal Vector,prerequisite,The binormal vector serves as the normal vector to the osculating plane.
Osculating Plane,Scalar Equation of a Plane,uses,The osculating plane equation uses the plane equation with the binormal as normal.
Radius of Curvature,Curvature Definition,prerequisite,Radius of curvature is defined as the reciprocal of curvature.
Position Vector Function,Vector-Valued Function Definition,prerequisite,Position vectors are specific applications of vector-valued functions representing location.
Velocity Vector in Space,Position Vector Function,prerequisite,Velocity is defined as the derivative of the position vector.
Velocity Vector in Space,Derivative of Vector-Valued Function,prerequisite,Computing velocity requires taking the derivative of a vector-valued function.
Acceleration Vector in Space,Velocity Vector in Space,prerequisite,Acceleration is the derivative of velocity or second derivative of position.
Acceleration Vector in Space,Higher-Order Derivatives of Vector Functions,prerequisite,Acceleration is a second-order derivative of the position vector.
Speed in Space Motion,Velocity Vector in Space,prerequisite,Speed is computed as the magnitude of the velocity vector.
Projectile Motion in Space,Position Vector Function,uses,Projectile motion is modeled using position vectors with gravity as constant acceleration.
Projectile Motion in Space,Acceleration Vector in Space,uses,Constant gravitational acceleration is integrated to find velocity and position.
Tangential and Normal Components of Acceleration,Acceleration Vector in Space,prerequisite,This decomposition breaks the acceleration vector into tangential and normal parts.
Tangential and Normal Components of Acceleration,Unit Tangent Vector,uses,The tangent vector defines the direction for the tangential component of acceleration.
Tangential and Normal Components of Acceleration,Principal Unit Normal Vector,uses,The normal vector defines the direction for the normal component of acceleration.
Tangential and Normal Components of Acceleration,Curvature Definition,uses,The normal component of acceleration equals curvature times speed squared.
Kepler's Laws of Planetary Motion,Position Vector Function,uses,Planetary orbits are described using position vectors in polar or parametric form.
Kepler's Laws of Planetary Motion,Acceleration Vector in Space,uses,Gravitational acceleration as inverse-square law leads to Kepler's laws.
Function of Several Variables,Vector-Valued Function Definition,related_to,"Vector-valued functions map scalars to vectors while multivariable functions map vectors to scalars, representing inverse perspectives."
Domain of Multivariable Function,Function of Several Variables,prerequisite,Must understand what a multivariable function is before determining where it is defined.
Range of Multivariable Function,Function of Several Variables,prerequisite,Must understand multivariable functions before analyzing their possible output values.
